rainfall_mm,flood_proximity_km,water_ph,turbidity_ntu,temperature_c,humidity_pct,historical_cases,ors_sales_spike,antibiotic_sales_spike,fever_med_sales_spike,population_density,sanitation_score,risk_level,disease_type,days_to_peak
103.9,23.5,5.5,67.50984412413612,34.0,67.8,382,5.5,4.9,4.8,7222.0,70.3,2,1,4
110.5,23.5,8.099124189298397,45.839006244962526,31.4,62.8,151,6.1,6.9,5.6,4205.0,35.9,1,1,8
121.3,26.2,8.316765884214679,69.43155805255627,34.6,56.4,233,6.7,6.0,8.2,3247.0,39.4,1,2,9
100.6,21.1,9.0,61.12613138145051,38.1,66.5,121,4.1,4.8,2.9,3855.0,51.5,1,1,7
155.8,22.9,5.584086638456089,38.39562341334783,31.1,74.2,126,2.9,5.6,4.7,1814.0,48.9,1,3,9
155.8,30.3,9.0,40.09483105402169,31.1,79.1,73,4.9,5.6,7.0,1869.0,27.2,1,1,9
78.5,20.3,8.635848718500734,66.02137073168223,38.3,65.3,218,4.4,3.3,5.3,5175.0,43.4,1,2,6
139.1,31.5,9.0,65.55842904983245,35.1,67.0,286,6.5,6.7,6.0,6720.0,34.8,2,2,4
174.8,22.9,7.360640105838258,54.93437674278685,30.1,60.9,271,5.6,5.6,6.5,4322.0,57.2,1,2,7
104.6,23.5,7.974521648923869,60.17577162509681,34.2,71.6,291,5.2,6.0,6.3,3261.0,37.9,1,2,7
104.4,18.0,7.119824384264552,51.68634334982848,30.1,61.8,222,5.8,2.6,6.6,2978.0,60.4,1,2,9
153.9,23.5,7.49623220797336,71.66073505838067,30.1,78.9,187,4.7,3.7,5.9,4656.0,42.7,1,1,8
219.0,27.1,6.347271760539316,65.64522436037848,33.0,50.6,233,4.1,7.2,6.2,5904.0,49.5,2,1,4
167.2,23.5,7.051785800016845,64.0264328625928,24.3,67.7,262,7.5,7.5,4.8,2414.0,40.7,1,1,9
131.6,30.8,9.0,67.55491194268683,25.1,75.6,212,4.8,5.1,6.0,5233.0,17.9,2,1,3
108.2,23.5,8.975464347533963,36.5412838545791,29.8,74.2,64,4.6,4.6,5.4,4427.0,15.9,1,1,8
139.8,23.9,7.371050302429531,38.40448721422372,27.9,100.0,67,4.4,3.2,5.3,5093.0,39.4,1,1,6
167.1,21.2,6.660212026118103,56.245518616494266,33.3,76.2,262,6.5,4.3,6.4,6024.0,56.2,1,2,8
116.9,23.5,5.5,67.92784044490367,28.4,60.0,395,6.0,5.2,7.4,4653.0,45.8,2,1,2
96.9,23.1,5.5,72.37179584651285,26.4,70.9,316,4.0,7.5,4.8,5145.0,66.2,1,1,5
117.2,22.6,6.514415093251676,78.01327614809635,37.9,50.7,289,5.4,6.4,6.6,4113.0,45.1,1,2,8
179.8,29.3,5.5,62.76595453543277,31.1,71.0,300,4.9,6.5,2.8,4606.0,41.8,1,1,6
86.3,24.2,7.181448580829175,76.33289983708192,32.3,62.0,206,2.7,4.4,6.0,2881.0,41.2,1,2,9
109.3,23.5,9.0,42.862086390767764,26.3,83.0,143,6.1,5.0,4.1,4798.0,48.0,1,1,8
122.9,20.8,9.0,75.8596577477359,29.8,65.4,151,4.6,6.1,5.5,4108.0,74.5,1,1,5
175.3,29.6,7.414148196336244,47.409367023489565,32.4,70.6,78,3.6,5.1,3.9,4090.0,31.9,0,0,10
109.0,22.6,5.5,58.5313315146563,27.4,64.4,232,3.9,4.5,4.2,4606.0,47.6,1,1,7
135.3,18.4,5.5,51.96529552732536,33.5,92.9,285,3.1,4.1,6.1,4867.0,50.5,1,1,7
97.0,23.5,5.618064405909149,43.44820411956711,29.6,68.1,118,4.4,4.5,6.7,3874.0,6.9,1,1,6
134.9,23.1,9.0,64.86006968427421,30.8,94.0,223,6.0,4.5,2.8,3829.0,45.2,1,2,8
93.8,21.8,5.5,66.52230386934822,29.6,81.8,307,3.6,5.9,5.0,2760.0,46.5,1,1,8
156.0,29.5,7.145771545218821,77.7388605597034,39.4,77.8,130,3.9,5.0,5.5,2706.0,30.6,1,1,7
59.5,24.1,9.0,70.36060845198735,31.9,76.4,258,8.8,5.1,6.0,2726.0,43.6,2,2,4
119.0,23.5,5.5,68.14202192623762,27.8,76.7,385,6.8,3.5,5.6,3951.0,50.7,2,1,2
191.0,23.5,5.702925976824722,62.066085243099074,35.3,48.9,314,5.8,5.3,6.4,5694.0,38.5,2,1,4
62.6,21.7,6.953864225511059,47.93565492294396,27.1,68.7,9,4.7,3.3,7.2,3730.0,41.2,0,0,14
89.2,20.8,9.0,59.99663072325092,32.8,82.1,160,3.5,4.1,6.5,2564.0,54.3,1,1,7
118.8,21.9,8.757257397440991,54.39203162418346,24.2,71.4,146,4.9,3.6,4.1,3965.0,44.6,1,1,9
70.0,14.1,7.80963189801941,36.71166695865949,26.7,55.1,59,3.3,3.8,5.5,7436.0,80.8,0,0,18
110.3,18.6,6.652488090855707,56.13135639524502,32.8,71.4,192,3.8,3.6,6.0,6410.0,64.6,1,3,6
69.5,24.3,9.0,56.91797386654816,35.0,92.4,251,6.7,5.4,4.1,6094.0,40.4,2,2,2
120.1,24.4,9.0,59.47029525033194,32.7,87.0,227,6.0,5.2,3.1,4862.0,51.2,1,2,8
165.4,23.5,7.484254837727466,71.71782264843846,31.5,71.3,264,5.8,7.0,5.6,3964.0,22.9,2,2,3
156.0,29.0,8.520806572970303,59.10906794692025,30.8,83.4,136,2.0,6.1,3.5,5291.0,30.8,1,1,6
133.1,22.7,5.5,66.91025897606156,26.1,67.6,314,2.8,5.4,8.1,3975.0,48.2,2,1,3
173.2,25.3,5.5,58.54319567486196,29.1,51.6,263,3.4,5.2,5.4,1623.0,32.5,1,1,5
